period,msn,seriesDescription,value,unit
2011,URSDPUS,Domestic Suppliers Inventories in Million Pounds Uranium Oxide,22.3,Million Pounds Uranium Oxide
2011,URPRPUS,Domestic Concentrate Production in Million Pounds Uranium Oxide,3.99,Million Pounds Uranium Oxide
2011,URLGPUS,Loaded into U.S. Nuclear Reactors in Million Pounds Uranium Oxide,50.9,Million Pounds Uranium Oxide
2011,URIMPUS,Purchased Imports in Million Pounds Uranium Oxide,54.4,Million Pounds Uranium Oxide
2011,URIMDUS,Average Price of Purchased Imports in Dollars per Pound Uranium Oxide,54,Dollars per Pound Uranium Oxide
2011,UREXPUS,Export Sales in Million Pounds Uranium Oxide,16.7,Million Pounds Uranium Oxide
2011,UREPPUS,Electric Plant Purchases from Domestic Suppliers in Million Pounds Uranium Oxide,19.8,Million Pounds Uranium Oxide
2011,URDPDUS,Average Price of Domestic Purchases in Dollars per Pound Uranium Oxide,53.41,Dollars per Pound Uranium Oxide
2011,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,6464.507,Trillion Btu
2011,TXICBUS,Total Primary Energy Consumed by the Industrial Sector in Trillion Btu,20493.736,Trillion Btu
2011,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,2169.682,Million Metric Tons of Carbon Dioxide
2011,TXEIBUS,Total Primary Energy Consumed by the Electric Power Sector in Trillion Btu,36426.365,Trillion Btu
2011,TXCCBUS,Total Primary Energy Consumed by the Commercial Sector in Trillion Btu,4051.174,Trillion Btu
2011,TXACBUS,Total Primary Energy Consumed by the Transportation Sector in Trillion Btu,26523.15,Trillion Btu
2011,TRMIRUS,Heavy-Duty Trucks Mileage in Miles per Vehicle,26054,Miles per Vehicle
2011,TRFRRUS,Heavy-Duty Trucks Fuel Economy in Miles per Gallon,6.3,Miles per Gallon
2011,TRFCRUS,Heavy-Duty Trucks Fuel Consumption in Gallons per Vehicle,4128,Gallons per Vehicle
2011,TPOPSUS,United States Share of World Population in Percent,4.4,Percent
2011,TPOPPWO,"Total Resident Population, World in Million people",7030.4,Million people
2011,TPOPPUS,"Total Resident Population, United States in Million people",311.6,Million people
2011,TNTCBUS,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,70327.042,Trillion Btu
2011,TNRCBUS,End-Use Energy Consumed by the Residential Sector in Trillion Btu,11319.104,Trillion Btu
2011,TNICBUS,End-Use Energy Consumed by the Industrial Sector in Trillion Btu,23876.105,Trillion Btu
2011,TNCCBUS,End-Use Energy Consumed by the Commercial Sector in Trillion Btu,8582.506,Trillion Btu
2011,TNACBUS,End-Use Energy Consumed by the Transportation Sector in Trillion Btu,26549.327,Trillion Btu
2011,TMNIVUS,Total Merchandise Balance in Million Dollars,-725447,Million Dollars
2011,TMIMVUS,Total Merchandise Imports in Million Dollars,2207954,Million Dollars
2011,TMEXVUS,Total Merchandise Exports in Million Dollars,1482508,Million Dollars
2011,TFTCBUS,"Total Energy Consumption, Fossil Fuel Equivalent in Trillion Btu",96868.046,Trillion Btu
2011,TFPRBUS,"Total Energy Production, Fossil Fuel Equivalent in Trillion Btu",78103.785,Trillion Btu
2011,TEVABUS,U.S. Department of Veterans Affairs Consumption in Trillion Btu,30.6,Trillion Btu
2011,TETXBUS,Total Primary Energy Consumed by the End-Use Sectors in Trillion Btu,57532.567,Trillion Btu
2011,TETRBUS,U.S. Department of Transportation Consumption in Trillion Btu,6.7,Trillion Btu
2011,TETPRUS,Total Primary Energy Consumption per Capita in Million Btu,302,Million Btu
2011,TETGRUS,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,5.51,Thousand Btu per Chained (2017) Dollar
2011,TETCVUS,Energy Expenditures in Million Nominal Dollars,1392468.7,Million Nominal Dollars
2011,TETCHUS,Energy Expenditures per Capita in Nominal Dollars,4469,Nominal Dollars
2011,TETCEUS,Total Energy CO2 Emissions in Million Metric Tons Carbon Dioxide,5454.851,Million Metric Tons Carbon Dioxide
2011,TETCBUS,Primary Energy Consumption Total in Trillion Btu,93966.459,Trillion Btu
2011,TESSBUS,Total Energy Consumed by the End-Use-Sectors in Trillion Btu,93958.932,Trillion Btu
2011,TERCEUS,Total Energy Residential Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,1149.417,Million Metric Tons of Carbon Dioxide
2011,TERCBUS,Total Energy Consumed by the Residential Sector in Trillion Btu,20285.733,Trillion Btu
2011,TEPSBUS,U.S. Postal Service Consumption in Trillion Btu,43,Trillion Btu
2011,TEPRBUS,Total Primary Energy Production in Trillion Btu,75202.198,Trillion Btu
2011,TEOTBUS,Other U.S. Government Agencies Consumption in Trillion Btu,21.4,Trillion Btu
2011,TENIVUS,Energy Balance in Million Dollars,-324850,Million Dollars
2011,TENIBUS,Total Primary Energy Net Imports in Trillion Btu,18375.263,Trillion Btu
2011,TENFSUS,Total Fossil Fuels Non-Combustion Consumption Percent of Total Energy Consumption in Percent,5.5,Percent
2011,TENFBUS,Total Fossil Fuels Non-Combustion Consumption in Quadrillion Btu,5.155731,Quadrillion Btu
2011,TENABUS,National Aeronautics and Space Administration Consumption in Trillion Btu,10.1,Trillion Btu
2011,TEJUBUS,U.S. Department of Justice Consumption in Trillion Btu,13.9,Trillion Btu
2011,TEINBUS,U.S. Department of the Interior Consumption in Trillion Btu,7.3,Trillion Btu
2011,TEIMVUS,Energy Imports in Million Dollars,453839,Million Dollars
2011,TEIMBUS,Total Primary Energy Imports in Trillion Btu,28747.981,Trillion Btu
2011,TEICEUS,Total Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,1502.514,Million Metric Tons of Carbon Dioxide
2011,TEICBUS,Total Energy Consumed by the Industrial Sector in Trillion Btu,30123.471,Trillion Btu
2011,TEHSBUS,U.S. Department of Homeland Security Consumption in Trillion Btu,20.3,Trillion Btu
2011,TEHHBUS,U.S. Department of Health and Human Services Consumption in Trillion Btu,10.5,Trillion Btu
2011,TEGVBUS,U.S. Government Total Consumption in Trillion Btu,1114.1,Trillion Btu
2011,TEGSBUS,U.S. General Services Administration Consumption in Trillion Btu,18.5,Trillion Btu
2011,TEGOSUS,Energy Expenditures as Share of Gross Output in Percent,5,Percent
2011,TEGDSUS,Energy Expenditures as Share of GDP in Percent,8.9,Percent
2011,TEEXVUS,Energy Exports in Million Dollars,128989,Million Dollars
2011,TEEXBUS,Total Primary Energy Exports in Trillion Btu,10372.719,Trillion Btu
2011,TEENBUS,U.S. Department of Energy Consumption in Trillion Btu,33.1,Trillion Btu
2011,TEDEBUS,U.S. Department of Defense Consumption in Trillion Btu,890.3,Trillion Btu
2011,TECCEUS,Total Energy Commercial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,990.21,Million Metric Tons of Carbon Dioxide
2011,TECCBUS,Total Energy Consumed by the Commercial Sector in Trillion Btu,16952.051,Trillion Btu
2011,TEAJBUS,Primary Energy Stock Change and Other in Trillion Btu,388.999,Trillion Btu
2011,TEAGBUS,U.S. Department of Agriculture Consumption in Trillion Btu,8.3,Trillion Btu
2011,TEACEUS,Total Energy Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,1812.71,Million Metric Tons of Carbon Dioxide
2011,TEACBUS,Total Energy Consumed by the Transportation Sector in Trillion Btu,26597.677,Trillion Btu
2011,SPL9SUS,"Solar Photovoltaic Electric Power Sector Generating Units, Capacity Factor in Percent",19,Percent
2011,SPI9SUS,"Solar Photovoltaic Industrial Sector Generating Units, Capacity Factor in Percent",30.3,Percent
2011,SPCASUS,"Solar Photovoltaic Generating Units, Capacity Factor in Percent",19,Percent
2011,SPC9SUS,"Solar Photovoltaic Commercial Sector Generating Units, Capacity Factor in Percent",18.7,Percent
2011,SOTEPUS,Solar Electricity Net Generation in Million Kilowatthours,5429.489,Million Kilowatthours
2011,SOTCBUS,Solar/PV Energy Consumption/Production in Trillion Btu,76.126,Trillion Btu
2011,SOT8BUS,Small-Scale Solar Energy Consumption for Heat: Total in Trillion Btu,57.601,Trillion Btu
2011,SOT7PUS,Small-Scale Solar Photovoltaic Generation: Total (All Sectors) in Million Kilowatthours,3611.794,Million Kilowatthours
2011,SOT7BUS,Small-Scale Solar Energy Consumption for Electricity: Total in Trillion Btu,12.323,Trillion Btu
2011,SOT5PUS,Utility-Scale Solar Electricity Net Generation:  Total in Million Kilowatthours,1817.696,Million Kilowatthours
2011,SOT5BUS,Utility-Scale Solar Energy Consumption: Total in Trillion Btu,6.202,Trillion Btu
2011,SORCBUS,Solar Energy Consumed by the Residential Sector in Trillion Btu,62.234,Trillion Btu
2011,SOR7PUS,Small-Scale Solar Photovoltaic Generation: Residential Sector in Million Kilowatthours,1357.777,Million Kilowatthours
2011,SOR7BUS,Small-Scale Solar Energy Consumption for Electricity: Residential Sector in Trillion Btu,4.633,Trillion Btu
2011,SOL9PUS,"Solar Electric Power Sector, Net Summer Capacity in Million Kilowatts",1.466,Million Kilowatts
2011,SOICBUS,Solar Energy Consumed by the Industrial Sector in Trillion Btu,1.417,Trillion Btu
2011,SOI9PUS,"Solar Industrial Sector, Net Summer Capacity in Million Kilowatts",.004,Million Kilowatts
2011,SOI7PUS,Small-Scale Solar Photovoltaic Generation: Industrial Sector in Million Kilowatthours,408.638,Million Kilowatthours
2011,SOI7BUS,Small-Scale Solar Energy Consumption for Electricity: Industrial Sector in Trillion Btu,1.394,Trillion Btu
2011,SOI5PUS,Utility-Scale Solar Electricity Net Generation: Industrial Sector in Million Kilowatthours,6.664,Million Kilowatthours
2011,SOI5BUS,Utility-Scale Solar Energy Consumption for Electricity: Industrial Sector in Trillion Btu,.023,Trillion Btu
2011,SOGBPUS,"Solar, Net Summer Capacity  in Million Kilowatts",1.524,Million Kilowatts
2011,SOFFBUS,"Solar Energy Consumption, Fossil Fuel Equivalent in Trillion Btu",110.354,Trillion Btu
2011,SOETPUS,"Electricity Net Generation From Solar, All Sectors in Million Kilowatthours",1817.696,Million Kilowatthours
2011,SOEGPUS,Utility-Scale Solar Electricity Net Generation:  Electric Power Sector in Million Kilowatthours,1727.283,Million Kilowatthours
2011,SOEGBUS,Utility-Scale Solar Energy Consumption for Electricity:  Electric Power Sector  in Trillion Btu,5.893,Trillion Btu
2011,SODTBUS,Small-Scale Solar Energy Consumption: Total in Trillion Btu,69.924,Trillion Btu
2011,SOCCBUS,Solar Energy Consumed by the Commercial Sector in Trillion Btu,6.582,Trillion Btu
2011,SOC9PUS,"Solar Commercial Sector, Net Summer Capacity in Million Kilowatts",.053,Million Kilowatts
2011,SOC7PUS,Small-Scale Solar Photovoltaic Generation: Commercial Sector in Million Kilowatthours,1845.379,Million Kilowatthours
2011,SOC7BUS,Small-Scale Solar Energy Consumption for Electricity: Commercial Sector in Trillion Btu,6.296,Trillion Btu
2011,SOC5PUS,Utility-Scale Solar Electricity Net Generation: Commercial Sector in Million Kilowatthours,83.749,Million Kilowatthours
2011,SOC5BUS,Utility-Scale Solar Energy Consumption for Electricity: Commercial Sector in Trillion Btu,.286,Trillion Btu
2011,SNNFPUS,Special Naphthas Non-Combustion Consumption in Thousand Barrels per Day,11.806,Thousand Barrels per Day
2011,SNNFBUS,Special Naphthas Non-Combustion Consumption in Quadrillion Btu,.022614,Quadrillion Btu
2011,SHL9SUS,"Solar Thermal Electric Power Sector Generating Units, Capacity Factor in Percent",23.9,Percent
2011,SHI9SUS,"Solar Thermal Industrial Sector Generating Units, Capacity Factor in Percent",No Data Reported,Percent
2011,SHCASUS,"Solar Thermal Generating Units, Capacity Factor in Percent",23.9,Percent
2011,SHC9SUS,"Solar Thermal Commercial Sector Generating Units, Capacity Factor in Percent",No Data Reported,Percent
2011,RYPRPUS,Biofuels Plant Net Production in Thousand Barrels per Day,1015.65,Thousand Barrels per Day
2011,RUUCUUS,"Unleaded Regular Gasoline, U.S. City Average Retail Price in Dollars per Gallon Including Taxes",3.527,Dollars per Gallon Including Taxes
2011,RRRTUUS,"Regular Motor Gasoline, Reformulated Gasoline Areas, Average Retail Price in Dollars per Gallon Including Taxes",3.616,Dollars per Gallon Including Taxes
2011,RQNIBUS,"Petroleum Products, Excluding Biofuels, Net Imports in Quadrillion Btu",-.781436,Quadrillion Btu
2011,RQIMBUS,"Petroleum Products, Excluding Biofuels, Imports in Trillion Btu",5038.187,Trillion Btu
2011,RQEXBUS,"Petroleum Products, Excluding Biofuels, Exports in Trillion Btu",5819.623,Trillion Btu
2011,RPIMKUS,Petroleum Products Imports Heat Content in Million Btu per Barrel,5.538,Million Btu per Barrel
2011,RPEXKUS,Petroleum Products Exports Heat Content in Million Btu per Barrel,5.526,Million Btu per Barrel
2011,ROWHUUS,"Average Refiner Price of Residual Fuel Oil, Sulfur Content Greater Than 1 Percent, Sales for Resale in Dollars per Gallon Excluding Taxes",2.316,Dollars per Gallon Excluding Taxes
2011,ROTCUUS,"Average Refiner Price of Residual Fuel Oil, Sulfur Content Greater Than 1 Percent, Sales to End Users in Dollars per Gallon Excluding Taxes",2.257,Dollars per Gallon Excluding Taxes
2011,RMRTUUS,"Regular Motor Gasoline, All Areas, Average Retail Price in Dollars per Gallon Including Taxes",3.521,Dollars per Gallon Including Taxes
2011,RLUCUUS,"Leaded Regular Gasoline, U.S. City Average Retail Price in Dollars per Gallon Including Taxes",Not Applicable,Dollars per Gallon Including Taxes
2011,RFWHUUS,"Average Refiner Price of Residual Fuel Oil, Sales for Resale in Dollars per Gallon Excluding Taxes",2.336,Dollars per Gallon Excluding Taxes
2011,RFTCUUS,"Average Refiner Price of Residual Fuel Oil, Sales to End Users in Dollars per Gallon Excluding Taxes",2.401,Dollars per Gallon Excluding Taxes
2011,RFTCPUS,Residual Fuel Oil Product Supplied in Thousand Barrels per Day,461.076,Thousand Barrels per Day
2011,RFTCEUS,Residual Fuel Oil CO2 Emissions in Million Metric Tons of Carbon Dioxide,79.188,Million Metric Tons of Carbon Dioxide
2011,RFTCBUS,Residual Fuel Oil Product Supplied in Trillion Btu,1058.056,Trillion Btu
2011,RFROPUS,Residual Fuel Oil Refinery and Blender Net Production in Thousand Barrels per Day,537.447,Thousand Barrels per Day
2011,RFPSPUS,"Residual Fuel Oil Stocks, End of Period in Million Barrels",34.189,Million Barrels
2011,RFL1PUS,"Residual Fuel Oil Consumption for Electricity Generation, Electric Power Sector in Thousand Barrels",13860.842,Thousand Barrels
2011,RFIMPUS,Residual Fuel Oil Imports in Thousand Barrels per Day,328.46,Thousand Barrels per Day
2011,RFICPUS,Residual Fuel Oil Consumed by the Industrial Sector in Thousand Barrels per Day,58.797,Thousand Barrels per Day
2011,RFICEUS,Residual Fuel Oil Industrial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,9.867,Million Metric Tons of Carbon Dioxide
2011,RFICBUS,Residual Fuel Oil Consumed by the Industrial Sector in Trillion Btu,134.925,Trillion Btu
2011,RFEXPUS,Residual Fuel Oil Exports in Thousand Barrels per Day,424.442,Thousand Barrels per Day
2011,RFERDUS,"Average Cost of Residual Fuel Receipts at Electric Generating Plants in Dollars per Million Btu, Including Taxes",18.35,"Dollars per Million Btu, Including Taxes"
2011,RFEPPUS,"Residual Fuel Oil Consumption for Electricity Generation, All Sectors in Thousand Barrels",14250.759,Thousand Barrels
2011,RFEKPUS,"Residual Fuel Oil Stocks, Electric Power Sector, End of Period in Thousand Barrels",15490.698,Thousand Barrels
2011,RFEIZUS,Residual Fuel Oil Consumed by the Electric Power Sector in Thousand Barrels per Day,40.556,Thousand Barrels per Day
2011,RFEIPUS,"Residual Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector in Thousand Barrels",14802.792,Thousand Barrels
2011,RFEIEUS,Residual Fuel Oil Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,6.989,Million Metric Tons of Carbon Dioxide
2011,RFEIBUS,Residual Fuel Oil Consumed by the Electric Power Sector in Trillion Btu,93.065,Trillion Btu
2011,RFECPUS,"Residual Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, All Sectors in Thousand Barrels",16876.724,Thousand Barrels
2011,RFCCPUS,Residual Fuel Oil Consumed by the Commercial Sector in Thousand Barrels per Day,23.421,Thousand Barrels per Day
2011,RFCCEUS,Residual Fuel Oil Commercial Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,4.036,Million Metric Tons of Carbon Dioxide
2011,RFCCBUS,Residual Fuel Oil Consumed by the Commercial Sector in Trillion Btu,53.746,Trillion Btu
2011,RFACPUS,Residual Fuel Oil Consumed by the Transportation Sector in Thousand Barrels per Day,338.302,Thousand Barrels per Day
2011,RFACEUS,Residual Fuel Oil Transportation Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,58.297,Million Metric Tons of Carbon Dioxide
2011,RFACBUS,Residual Fuel Oil Consumed by the Transportation Sector in Trillion Btu,776.321,Trillion Btu
2011,RETCBUS,Total Renewable Energy Consumption in Trillion Btu,6308.059,Trillion Btu
2011,RERCBUS,Total Renewable Energy Consumed by the Residential Sector in Trillion Btu,626.097,Trillion Btu
2011,REPRBUS,Total Renewable Energy Production in Trillion Btu,6404.003,Trillion Btu
2011,REPFBUS,"Renewable Energy Production, Fossil Fuel Equivalent in Trillion Btu",9305.589,Trillion Btu
2011,REL9PUS,"Renewable Energy Electric Power Sector, Net Summer Capacity  in Million Kilowatts",133.615,Million Kilowatts
2011,REICBUS,Total Renewable Energy Consumed by the Industrial Sector in Trillion Btu,2386.526,Trillion Btu
2011,REI9PUS,"Renewable Energy Industrial Sector, Net Summer Capacity  in Million Kilowatts",5.558,Million Kilowatts
2011,REGBPUS,"Renewable Energy, Net Summer Capacity  in Million Kilowatts",139.873,Million Kilowatts
2011,REFFBUS,"Renewable Energy Consumption, Fossil Fuel Equivalent in Trillion Btu",9209.646,Trillion Btu
2011,REEIBUS,Total Renewable Energy Consumed by the Electric Power Sector in Trillion Btu,1988.145,Trillion Btu
2011,RECCBUS,Total Renewable Energy Consumed by the Commercial Sector in Trillion Btu,141.144,Trillion Btu
2011,REC9PUS,"Renewable Energy Commercial Sector, Net Summer Capacity  in Million Kilowatts",.7,Million Kilowatts
2011,REACBUS,Total Biomass Energy Consumed by the Transportation Sector in Trillion Btu,1166.147,Trillion Btu
2011,RCRTUUS,"Regular Motor Gasoline, Conventional Gasoline Areas, Average Retail Price in Dollars per Gallon Including Taxes",3.476,Dollars per Gallon Including Taxes
2011,RBWHUUS,"Average Refiner Price of Residual Fuel Oil, Sulfur Content Less Than or Equal to 1 Percent, Sales for Resale in Dollars per Gallon Excluding Taxes",2.389,Dollars per Gallon Excluding Taxes
2011,RBTCUUS,"Average Refiner Price of Residual Fuel Oil, Sulfur Content Less Than or Equal to 1 Percent, Sales to End Users in Dollars per Gallon Excluding Taxes",2.736,Dollars per Gallon Excluding Taxes
2011,RAIMUUS,"Average Refiner Acquisition Cost of Crude Oil, Imported in Dollars per Barrel",102.63,Dollars per Barrel
2011,RADMUUS,"Average Refiner Acquisition Cost of Crude Oil, Domestic in Dollars per Barrel",100.71,Dollars per Barrel
2011,RACPUUS,"Average Refiner Acquisition Cost of Crude Oil, Composite in Dollars per Barrel",101.87,Dollars per Barrel
2011,PZTCPUS,Propane/Propylene Product Supplied in Thousand Barrels per Day,1161.482,Thousand Barrels per Day
2011,PZTCBUS,Propane/Propylene Product Supplied in Trillion Btu,1627.678,Trillion Btu
2011,PZROPUS,Propane/Propylene Refinery and Blender Net Production in Thousand Barrels per Day,552.033,Thousand Barrels per Day
2011,PZPSPUS,Propane/Propylene Stocks in Million Barrels,49.749,Million Barrels
2011,PZIMPUS,Propane/Propylene Imports in Thousand Barrels per Day,109.553,Thousand Barrels per Day
2011,PZICPUS,Propane/Propylene Consumed by the Industrial Sector in Thousand Barrels per Day,705.178,Thousand Barrels per Day
